exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GF,2002-12-06,3.72,3.80,3.65,3.71,40900,3.10
NYSE,GIM,1997-02-26,5.65,5.75,5.65,5.70,289400,1.78
NYSE,GYA,2007-12-04,18.41,20.40,18.41,20.40,17200,16.90
NYSE,GFI,2003-07-10,11.75,12.04,11.73,11.85,1380600,10.84
NYSE,GJF,2007-09-27,24.04,24.04,23.61,23.61,1200,20.07
NYSE,GLP,2005-11-11,20.90,21.35,20.75,21.15,29400,14.34
NYSE,GMT,1990-06-21,19.78,19.95,19.69,19.86,74400,4.49
NYSE,GRR,2009-12-16,19.05,19.19,19.05,19.19,4200,19.01
NYSE,GLT,2002-12-12,13.40,13.50,13.27,13.50,54700,10.78
NYSE,GAS,1992-03-20,28.47,28.56,28.12,28.38,87600,5.74
NYSE,GPN,2007-07-31,36.86,37.78,36.54,37.40,1872700,37.22
NYSE,GAP,1999-07-14,34.60,36.03,34.60,35.84,115000,27.45
NYSE,GMR,2002-04-25,12.85,12.85,12.40,12.50,18800,4.61
NYSE,GSG,2006-10-05,41.50,41.53,40.99,41.06,153200,41.06
NYSE,GJD,2005-03-04,25.10,25.11,25.10,25.11,1800,17.36
NYSE,GIS,2005-08-12,47.50,47.85,47.49,47.70,719700,42.11
NYSE,GTC,1996-08-28,97.32,98.19,97.32,97.89,000,97.89
NYSE,GS,1999-06-16,63.59,65.08,63.59,64.89,690300,59.49
NYSE,GE,1994-06-10,48.13,48.25,47.63,47.75,10714800,5.30
NYSE,GNK,2008-05-15,81.30,83.37,80.85,82.08,1073700,74.83
NYSE,GFI,2008-01-04,16.46,16.64,16.12,16.21,6831700,15.64
NYSE,GFF,2005-07-25,25.80,25.99,25.32,25.37,162600,25.37
NYSE,GT,1970-03-31,27.12,27.37,26.62,27.00,52000,3.30
NYSE,GGG,1992-05-18,25.12,25.12,25.12,25.12,1100,1.31
NYSE,GRB,1992-03-12,9.95,10.06,9.95,10.06,6500,8.33
NYSE,GGG,1992-07-07,24.25,24.50,24.25,24.37,28500,1.27
NYSE,GLW,1994-03-25,32.13,33.13,31.75,32.88,1501500,7.96
